장르,노래제목,가수
발라드,삭제,김재환
발라드,나의 계절에게 (Our Season),재찬
발라드,넌 나의 기적이야,lilli lilli (릴리릴리)
발라드,천일동안,HYNN (박혜원)
발라드,Summer Festa,네이비쿼카 (NavyQuokka)
발라드,비오는 길,더 라임
발라드,다시 돌아와도 돼,이다은
발라드,"마음, 말, 다른 이야기 (Feat. 진선)",Norway Elephant
발라드,행복해져 (feat. 해미시),마끼아또 (Machiato)
발라드,봄야,곽동현
발라드,물결,신선혜
발라드,SWALLOW,수빈
발라드,시간을 멈출 수 만 있다면 (Vocal 김수민),연승모
발라드,링크,멜로망스
발라드,스티커 사진,21학번
발라드,한강을 걷다가,최도영(CANDO)
발라드,봄날은 간다 (feat. 인순이),박근혁 SONGBOOK
발라드,처음처럼 나만 봐(feat.디어밍),에피타이저 (Appetizer)
발라드,한 걸음만 더,서로 (Suh Ro)
발라드,소녀 : 윤영의 테마 (Vocal 유승희),신케이
발라드,니가 밤엔 잘 잤으면 좋겠다,소지살
발라드,5월에게 (Feat. The Paradice),이현기
발라드,사진(A Letter From Australia),최문석
발라드,모래 사랑 시계,김종호
발라드,이별 후에,최문성
발라드,"닭이 울기 전에 (feat. 손상모, 고현진)",노주하
발라드,잊었던 마음,염요섭
발라드,내 어깨에 기대주겠니(With김대건),멜로틱
발라드,어렵다,최조홍
발라드,그대로,정원
발라드,점점 멀어져가네요 (Feat. 송윤선),진정(Jin.Jung)
발라드,있는 그대로 사랑해 준,전혁수
발라드,바보에게 바보가 (웹툰 '연애의 발견' X 이석훈),이석훈
발라드,있어요,안다은
발라드,향기,리디아 (Lydia)
발라드,달시 (Darcy),최윤지
발라드,Diary (New Arranged Ver.),푶
발라드,"너의 결혼식 (Feat. 서장원, 김현지)",박현서
발라드,Love myself,홍서원
발라드,파도,WEND (웬드)
발라드,Dear My Friend,ink sky
발라드,사랑 참 별거 없다,준수
발라드,사계절을 함께 해줬던 친구들에게 (feat. 호찬),로더
발라드,바라만 본다,정세운
발라드,엄마,DOKO (도코)
발라드,별보다 니가…,세현
발라드,그리움만 쌓이네,오왠 (O.WHEN)
발라드,얼마나 아파야 잊을까요,알리 (ALi)
발라드,울산 관람차,"오곤, 무성"
발라드,사랑은 너야,이동은 (라이어밴드)
댄스,SCREAM,SF9
댄스,Delight,Una L
댄스,손케듀오 (Son & Kane),OTHANKQ (오땡큐)
댄스,Copycat,Apink 초봄 (에이핑크 초봄)
댄스,Mango,SUPER JUNIOR (슈퍼주니어)
댄스,OASIS,1CHU (원츄)
댄스,구름 그림자,"천지윤, 상흠 (RYUL)"
댄스,에너지 (Energy) (feat.노훈),데니스프로젝트
댄스,Missing Summer,Do30
댄스,Paradise,Sei
댄스,투 싸이 (TO PSY),싸이버거
댄스,동심,손석민
댄스,Sparkling,청하
댄스,여름인걸,버스터즈
댄스,Starlit,UiU
댄스,HOW'S MY MBTI? (feat. 유성은),윤담백
댄스,너로 가득해 (feat. Hae Ong),2H FLASH
댄스,여름안에서,바다 (BADA)
댄스,Meant To Be,소울라임
댄스,Let it spark,Lubless (러블레스)
댄스,I Like Summer,라보 (RABO)
댄스,예쁘니까 (Pure Love),설인아 (Seorina)
댄스,Girls,aespa
댄스,"MAKEUMINE (feat. BOYHOOD, SOHLHEE, JQ)",MUMW
댄스,Night City (Feat. 김윤재),Musist
댄스,Tropical Love,데이지(Daisy)
댄스,BIG FAN OF CHEER,HAEXSO
댄스,119,함지수
댄스,If with U,몬스타엑스
댄스,#MOOD,MCND
댄스,친구라는 이름으로,MC용
댄스,LOVEADE,VIVIZ (비비지)
댄스,RUN,H1-KEY
댄스,WANNA KNOW,IRRIS (아이리스)
댄스,SHAKE IT BOOM,사거리 그오빠
댄스,OTHERSIDE,"백찬, BAYC #4172, 메타젤리스"
댄스,무지개 (feat. 연선),너에게 스친별
댄스,youth (feat. 나오 (Na0H)),TOMMY ROCK (타미 락)
댄스,Last Sequence,우주소녀
댄스,I LOVE U,WINNER
댄스,신사답게 (MMM),영탁
댄스,여행,F.able (페이블)
댄스,Let's Dance,유지우
댄스,바짓가랑이,브레이브보이즈 (Brave Boys)
댄스,The Beach,크로스오버 (Krssover)
댄스,우산 (feat. SeeU),seibin
댄스,Your Eyes,여전희
댄스,"Still Awake (feat. 장동욱, MiRr)",백호
댄스,Sky Dance,한결
댄스,Milky Way (feat.김소희),물음표¿
힙합,I need to smoke (feat. Nudeboi Seo),신세계(NEWRLD)
힙합,고요한 빛,Festy Wxs
힙합,BAMBOO FOREST (with. DD!),코넛 (Conut)
힙합,Bust Down Freestyle (Feat. Blase),"키모엘 (Kimo:L), xage"
힙합,Open The Curtains,O.T.O
힙합,토할 것 같아,규빈
힙합,WAKE UP IN THE BLUE,PsychShane
힙합,입춘,이한 (leehan)
힙합,위스키,레어
힙합,YAMAN,BANDO SURA
힙합,All in you,Lil jibo
힙합,Diving (Prod. Nowin),Movetheguap
힙합,Ready to die,Wanda boy
힙합,Incheon HipHop Kid,Wavy
힙합,FAST,Andy White
힙합,Bravado,24SQUAD
힙합,falling Love (Feat. 단옹),유서준
힙합,Woo,whosthegoose
힙합,지켜야만해 (Feat. 박현진),트렌즈 (Tranze)
힙합,Queen SIMBA,NICKY
힙합,a rainy day in Tokyo,Nyllin
힙합,gameboy-lego-?,CHEDDA (체다)
힙합,Stuck with you,Noa (노아)
힙합,The Rebellion,Djjb
힙합,섬나라에서는,달빛선율
힙합,Delicious,우진영
힙합,Swang,Mac9 (맥나인)
힙합,DJ SPIN,"seshin, M3CHVNIC (메카닉)"
힙합,Light Up (Feat. Wiz-B),SEMIN (세민)
힙합,Cat in the morning,Shohong
힙합,DOOR SLAM,FROM.MY
힙합,Lazy Morning,여지 (餘地)
힙합,15살의 마지막,이서형
힙합,SubMarine,IAN WORD
힙합,If you come tomorrow,티첼 (T.chael)
힙합,나는 괜찮아,hatebeingcold
힙합,막차,Howell
힙합,Indigo/Purple (Feat. Cubana),purpdeep
힙합,만약에 닭발이 없었더라면 (Feat. Nana Lovegood),토스트보이 (TOAST BOY)
힙합,소음 속에 너와 나,Darley
힙합,사람이라서 (Feat. Tomnerd),Xack
힙합,Green Card,Cue Choi
힙합,WIN (Feat. 주엘 (Juel)),데일리 웨이브 (Daily Wave)
힙합,Girl from Vienna,SHIMHAE (심해)
힙합,Lazy day,Aci-J (애시제이)
힙합,Flashback,우노 (WUNO)
힙합,힙합고양이피아노,봉쌤
힙합,Paradise,Matieric Sound
힙합,하늘,크루셜스타 (CRUCiAL STAR)
힙합,Lavender,"KIND, 하동균, Skinny Brown"
R&B,How To Love (Feat.폴킴),픽보이 (Peakboy)
R&B,Honestly,희진 (이달의 소녀)
R&B,Hidden Castle,김뮤지엄 (KIMMUSEUM)
R&B,Wash me,보니
R&B,28 DREAM,조하(JOHA)
R&B,그냥 생각이 나서,WEN
R&B,OUTGROWN,HUNJIYA
R&B,도돌이표,민선
R&B,u you,김민지
R&B,"say (With. 신가윤, 이성호)",동건이
R&B,Drawing,하네 (HANE)
R&B,Wave,메도우 (Meadow)
R&B,SUM(U+I) (Feat. aki),AYA
R&B,한 여름밤의 꿈(Rainy),Lune
R&B,오늘은 왠지(Feat.김은비),승맨 (Seung Man)
R&B,Still young,JIAN (지안)
R&B,Surf On (Prod. 2LSON),COLESLAW
R&B,Mango,NeD (네드)
R&B,Blue,January (재뉴어리)
R&B,Tinkerbell,Toby
R&B,Lunch time,재이 (JAY)
R&B,Need To Know,박재범
R&B,Docent,Mabelle
R&B,Breeze in the beach (Feat. CHAI),JINex (지넥스)
R&B,Follow my heart (Feat. DIGO),비버 (Beaver)
R&B,무슨 사이,박필규
R&B,Smoking Guitar,Cozy Groove
R&B,Savage (Feat. 딜라) (prod. STAFFONLY),meeruu (미루)
R&B,유리,브로콜드 (broccold)
R&B,여름이었다 (Feat. 신채린),차원
R&B,You Don't Love Me,수빈
R&B,Still i want to be here (feat. 이제희),Roobe (루브)
R&B,Demian,Othens(오덴스)
R&B,무덤까지 가져가,빈센트블루
R&B,Ariana Grande (feat. Sonny Zero),KODI GREEN
R&B,No way,"반에스틴 (BAN ESTIN), 정진우"
R&B,걸음걸이,Hippo
R&B,Soaring (Feat. THE GONE),INTEC (인택)
R&B,You & Me (Feat. 나강민),이동욱
R&B,눈맞춤 moment(착각꾸러미)(Feat.H:SEAN),박준상
R&B,사라져가네 (With 동건이),서장원
R&B,? in the trap,chexxy.k
