장르,노래제목,가수
인디음악,그라데이션,10CM
인디음악,아무래도 난,주시크 (Joosiq)
인디음악,Love story,볼빨간사춘기
인디음악,고백하는 취한밤에 (Prod. 2soo),임재현
인디음악,너를 생각해,주시크 (Joosiq)
인디음악,해요 (2022),#안녕
인디음악,고백,멜로망스
인디음악,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (MAKTUB)
인디음악,Seoul,볼빨간사춘기
인디음악,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB)
인디음악,여행,볼빨간사춘기
인디음악,초대,멜로망스
인디음악,선물,멜로망스
인디음악,너의 번호를 누르고 (Prod. 영화처럼),#안녕
인디음악,주저하는 연인들을 위해,잔나비
인디음악,사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들이 자꾸 내 마음을 가둬두네,잔나비
인디음악,오래된 노래,스탠딩 에그
인디음악,어떻게 지내 (Prod. By VAN.C),오반
인디음악,Way Back Home,숀 (SHAUN)
인디음악,나의 사춘기에게,볼빨간사춘기
인디음악,서툰 이별을 하려해 (Feat.전상근),윤토벤
인디음악,폰서트,10CM
인디음악,우주를 줄게,볼빨간사춘기
인디음악,"너, 너",스트레이 (The Stray)
인디음악,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재
인디음악,스토커,10CM
인디음악,뜨거운 여름밤은 가고 남은 건 볼품없지만,잔나비
인디음악,조금 취했어 (Prod. 2soo),임재현
인디음악,"나만, 봄",볼빨간사춘기
인디음악,Downtown Baby,블루 (BLOO)
인디음악,너는 내 세상이었어,볼빨간사춘기
인디음악,안아줘,정준일
인디음악,좋다고 말해,볼빨간사춘기
인디음악,썸 탈꺼야,볼빨간사춘기
인디음악,초록을거머쥔우리는,잔나비
인디음악,스티커 사진,21학번
인디음악,동화,멜로망스
인디음악,별 보러 갈래?,볼빨간사춘기
인디음악,꿈속에 너 (Feat. 전상근),에이치코드 (H:CODE)
인디음악,지금 난,오반
인디음악,나만 안되는 연애,볼빨간사춘기
인디음악,어제 너는 나를 버렸어,10CM
인디음악,EVERYTHING,검정치마
인디음악,허리춤,오반
인디음악,이렇게 좋아해 본 적이 없어요,CHEEZE (치즈)
인디음악,TOMBOY,혁오 (HYUKOH)
인디음악,남이 될 수 있을까,볼빨간사춘기
인디음악,가을밤에 든 생각,잔나비
인디음악,별 보러 가자,적재
인디음악,나비와 고양이 (feat.백현 (BAEKHYUN)),볼빨간사춘기
