,노래제목,가수
0,Violet!,Waterparks
1,Quit,Hedley
2,Good Mood (Original Song From Paw Patrol: The Movie),Adam Levine
3,Freaking Out,A R I Z O N A
4,Paycheck,"ROOKIES, New Hope Club"
5,When You're Gone,Shawn Mendes
6,Love Runs Out,Great Good Fine OK
7,Like Hell,Wells*
8,Never Nervous,farfetch'd
9,I Believe,Jonas Brothers
10,Can We Make It? (Jim Carrey),Valley
11,Mindreader,Yueku
12,What Everybody Wants,Chelsea Cutler
13,That's What Makes Me Love You,The Regrettes
14,Thank God You Introduced Me to Your Sister,Sarah Barrios
15,"L.O.V.E. (Feat. EARTHGANG, Jon Batiste & Sherwyn)",Yung Bae
16,love me better,joan
17,Not About Love,AJ Mitchell
18,Who Doesn't Love Love,FO&O
19,April,Goody Grace
20,Win Anyway,Walk The Moon
21,Break Your Phone,Nick Tangorra
22,History,Mitch James
23,Potential,Foxes
24,POP!,나연 (TWICE)
25,LOVE DIVE,IVE (아이브)
26,Girls,aespa
27,Touch My Body,씨스타
28,That That (prod. & feat. SUGA of BTS),싸이 (PSY)
29,STAY,"The Kid LAROI, Justin Bieber"
30,TOMBOY,(여자)아이들
31,롤린 (Rollin'),브레이브걸스
32,SNEAKERS,ITZY (있지)
33,멜로디,ASH ISLAND
34,GANADARA (Feat. 아이유),박재범
35,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단
36,불타오르네 (FIRE),방탄소년단
37,Next Level,aespa
38,Step Back,GOT the beat
39,LALISA,리사 (LISA)
40,눈누난나 (NUNU NANA),제시 (Jessi)
41,Bad Habits,Ed Sheeran
42,WANNABE,ITZY (있지)
43,RUN2U,STAYC(스테이씨)
44,That's What I Like,Bruno Mars
45,빨간 맛 (Red Flavor),Red Velvet (레드벨벳)
46,라일락,아이유
47,Good Boy Gone Bad,투모로우바이투게더
48,달라달라,ITZY (있지)
49,Dun Dun Dance,오마이걸 (OH MY GIRL)
50,CHEER UP,TWICE (트와이스)
51,아주 NICE,세븐틴
52,Dynamite,방탄소년단
53,24K Magic,Bruno Mars
54,Power Up,Red Velvet (레드벨벳)
55,강남스타일,싸이 (PSY)
56,There's Nothing Holdin' Me Back,Shawn Mendes
57,Galway Girl,Ed Sheeran
58,Savage,aespa
59,Winwin,브로스
60,Blueming,아이유
61,Savage Love (Laxed - Siren Beat) (BTS Remix),"Jawsh 685, Jason Derulo, 방탄소년단"
62,Panorama,IZ*ONE (아이즈원)
63,Uptown Funk (Feat. Bruno Mars),Mark Ronson
64,뱅뱅뱅 (BANG BANG BANG),BIGBANG (빅뱅)
65,LOCO,ITZY (있지)
66,Celebrity,아이유
67,거짓말,BIGBANG (빅뱅)
68,How You Like That,BLACKPINK
69,Congratulations (Feat. Quavo),Post Malone
70,2002,Anne-Marie
71,Not Shy,ITZY (있지)
72,시작,가호 (Gaho)
73,I Don't Care,"Ed Sheeran, Justin Bieber"
74,It's Only A Heartbreak,Dagny
75,Gimme Gimme,Johnny Stimson
76,Soap,Emily Roberts
77,Sour Strawberry,Caroline Manning
78,Awkward,Jens
79,Pill For This (Uptempo),Sam DeRosa
80,want want,Ffion
81,Someone Else,TRXD
82,seriously just stop (Loote remix),somegirlnamedanna
83,Perf,Baby Ariel
84,Kisses For Breakfast,Kiara Nelson
85,I'm Yours,Jason Mraz
86,Glue,Lil Halima
87,Downfalls,Cally Rhodes
88,BESTIES,Emily Zeck
89,Complicated,Eves Karydas
90,Princess Peach,Johnny Stimson
91,Notebook,Melanie Martinez
92,Bubble,Zom Marie
93,The Weekend,"HRZON, reon"
94,Priority,Dominique
95,HALO HALO (feat. Chevy),Shawn Wasabi
96,Pretty Girl (Cheat Codes X CADE Remix),Maggie Lindemann
97,Trainwreck,KELLA
98,common sense,"d.r.w.s., Kole, Ariza"
99,Chase For Your Love,Askling
100,Sad To See You Happy,Olivia Lunny
101,Nice,Asmik
102,Lipstick,Shaylen
103,Losers,Frawley
104,Someone Else (Feat. Wiktoria),"Bastiaan, Jens"
105,90s Kids,JAX
106,Good Thing,Suriel Hess
107,Shine (Feat. Willy Winarko),"Kim!, NSG"
108,Bad Girlfriend,Olivia Holt
